,date,high,low,max_precipitation_10min(mm),daylight_hours(hours)
0,1984/1/1,10.1,0.9,0.0,8.5
1,1984/1/2,8.9,0.3,0.0,7.0
2,1984/1/3,7.7,0.9,1.0,4.1
3,1984/1/4,10.9,1.5,0.5,6.5
4,1984/1/5,7.6,1.9,0.0,8.6
5,1984/1/6,9.3,1.3,0.0,8.7
6,1984/1/7,8.7,0.2,0.0,8.5
7,1984/1/8,7.1,-0.2,0.0,8.3
8,1984/1/9,9.7,-0.9,0.0,7.9
9,1984/1/10,11.4,-0.2,0.0,8.8
10,1984/1/11,9.0,3.1,0.0,5.8
11,1984/1/12,7.6,1.3,0.0,7.1
12,1984/1/13,8.7,-1.1,0.0,8.5
13,1984/1/14,9.5,1.6,0.0,8.1
14,1984/1/15,14.6,0.7,0.5,6.1
15,1984/1/16,7.2,0.7,0.0,5.1
16,1984/1/17,7.4,-0.3,0.0,8.6
17,1984/1/18,7.2,0.6,0.0,8.7
18,1984/1/19,2.9,-0.7,0.5,0.0
19,1984/1/20,2.9,-2.0,0.0,8.9
20,1984/1/21,0.7,-2.5,0.5,0.0
21,1984/1/22,4.7,0.3,0.5,0.5
22,1984/1/23,8.3,0.2,0.0,7.3
23,1984/1/24,6.5,0.8,0.0,7.7
24,1984/1/25,6.1,-1.5,0.0,6.0
25,1984/1/26,6.7,-0.3,0.0,8.7
26,1984/1/27,8.4,-1.3,0.0,9.2
27,1984/1/28,6.9,0.0,0.0,8.9
28,1984/1/29,6.2,0.5,0.0,9.6
29,1984/1/30,5.9,-0.8,0.0,7.1
30,1984/1/31,3.5,-0.1,1.0,0.0
31,1984/2/1,8.2,0.2,0.0,6.6
32,1984/2/2,12.8,-0.2,0.0,8.4
33,1984/2/3,7.3,-1.0,0.0,5.7
34,1984/2/4,2.8,-2.9,0.0,9.1
35,1984/2/5,4.7,-2.1,0.0,3.8
36,1984/2/6,2.3,-1.2,0.0,3.8
37,1984/2/7,3.2,-3.1,0.0,9.6
38,1984/2/8,4.9,-2.8,0.0,9.5
39,1984/2/9,6.2,-3.5,0.0,9.7
40,1984/2/10,5.9,-0.6,0.0,9.8
41,1984/2/11,6.6,1.1,0.0,8.2
42,1984/2/12,4.7,0.4,0.5,0.0
43,1984/2/13,5.6,0.9,0.5,0.0
44,1984/2/14,7.5,2.7,0.0,3.5
45,1984/2/15,6.6,0.9,0.0,5.2
46,1984/2/16,6.7,-0.4,0.0,9.6
47,1984/2/17,4.2,-0.7,1.0,0.5
48,1984/2/18,5.0,-0.9,0.5,8.8
49,1984/2/19,6.2,-1.2,0.0,9.9
50,1984/2/20,5.6,0.4,0.0,4.0
51,1984/2/21,8.5,-0.3,0.0,9.3
52,1984/2/22,8.8,1.8,0.0,7.8
53,1984/2/23,4.5,1.4,1.0,0.0
54,1984/2/24,10.3,3.9,0.0,9.5
55,1984/2/25,7.0,3.2,0.0,3.3
56,1984/2/26,4.9,0.9,1.0,0.0
57,1984/2/27,9.4,2.1,0.0,8.8
58,1984/2/28,6.7,0.7,0.0,9.5
59,1984/2/29,6.9,-0.8,0.0,8.6
60,1984/3/1,7.3,-1.5,0.0,8.9
61,1984/3/2,10.6,0.1,0.0,9.8
62,1984/3/3,10.4,2.0,0.5,6.4
63,1984/3/4,8.3,1.2,0.5,6.1
64,1984/3/5,8.6,1.0,0.0,7.2
65,1984/3/6,9.9,0.8,0.0,7.6
66,1984/3/7,10.2,1.6,0.0,8.5
67,1984/3/8,10.8,2.6,0.0,7.2
68,1984/3/9,9.4,2.6,0.0,6.6
69,1984/3/10,6.1,2.0,0.5,1.2
70,1984/3/11,9.1,3.2,0.0,10.1
71,1984/3/12,12.5,0.4,0.0,10.3
72,1984/3/13,9.5,2.2,0.0,7.2
73,1984/3/14,3.7,0.6,0.5,0.0
74,1984/3/15,8.7,1.4,0.0,7.7
75,1984/3/16,5.6,1.2,0.5,0.0
76,1984/3/17,12.2,3.0,0.0,7.3
77,1984/3/18,12.7,1.5,0.0,10.5
78,1984/3/19,5.7,1.0,0.5,0.0
79,1984/3/20,5.3,0.9,0.5,0.0
80,1984/3/21,9.7,2.2,0.0,7.4
81,1984/3/22,8.3,1.1,0.0,10.6
82,1984/3/23,9.2,0.3,0.0,10.4
83,1984/3/24,10.2,2.2,0.5,2.8
84,1984/3/25,14.1,3.0,0.0,9.5
85,1984/3/26,13.1,5.8,0.0,8.6
86,1984/3/27,13.1,4.2,0.0,7.0
87,1984/3/28,6.5,2.4,0.5,1.7
88,1984/3/29,17.0,2.1,0.0,10.3
89,1984/3/30,19.1,6.8,0.0,9.4
90,1984/3/31,18.8,2.7,1.0,5.4
91,1984/4/1,4.3,1.8,0.5,0.0
92,1984/4/2,11.1,3.4,0.0,6.0
93,1984/4/3,10.4,3.4,0.0,0.0
94,1984/4/4,17.0,5.4,0.5,8.6
95,1984/4/5,15.0,11.5,1.5,0.0
96,1984/4/6,19.7,8.8,0.5,8.6
97,1984/4/7,9.8,5.5,0.5,1.0
98,1984/4/8,12.8,4.3,0.5,9.0
99,1984/4/9,12.5,3.2,0.0,8.3
100,1984/4/10,14.2,7.0,0.0,0.0
101,1984/4/11,17.2,9.0,0.0,2.8
102,1984/4/12,18.6,8.2,0.0,8.3
103,1984/4/13,14.9,8.6,0.0,6.3
104,1984/4/14,15.6,8.1,0.0,9.2
105,1984/4/15,16.0,6.7,0.0,5.9
106,1984/4/16,12.7,10.3,0.5,0.0
107,1984/4/17,16.2,9.6,0.0,6.1
108,1984/4/18,24.0,11.8,0.0,7.5
109,1984/4/19,17.8,5.5,1.5,0.0
110,1984/4/20,17.9,5.6,1.5,7.4
111,1984/4/21,15.0,8.1,0.0,1.7
112,1984/4/22,13.8,7.8,0.0,2.7
113,1984/4/23,18.2,8.3,0.0,10.0
114,1984/4/24,18.6,7.5,0.0,11.8
115,1984/4/25,20.8,11.1,0.0,10.5
116,1984/4/26,21.6,14.3,0.0,9.0
117,1984/4/27,20.6,13.2,0.0,8.0
118,1984/4/28,21.4,11.3,0.0,11.2
119,1984/4/29,15.9,9.2,0.0,7.5
120,1984/4/30,16.6,9.0,0.0,0.8
121,1984/5/1,19.4,11.4,1.0,3.2
122,1984/5/2,19.9,13.1,4.5,6.5
123,1984/5/3,23.6,10.5,0.0,11.6
124,1984/5/4,21.3,13.5,0.0,8.1
125,1984/5/5,22.3,14.7,0.0,7.4
126,1984/5/6,23.1,14.3,0.0,11.0
127,1984/5/7,24.4,15.0,0.0,12.0
128,1984/5/8,23.7,16.2,0.0,10.9
129,1984/5/9,27.7,17.8,0.0,11.7
130,1984/5/10,25.2,15.7,0.0,11.9
131,1984/5/11,22.2,14.9,0.0,6.2
132,1984/5/12,22.4,14.1,0.0,5.6
133,1984/5/13,14.3,11.3,0.5,0.0
134,1984/5/14,17.9,11.1,1.0,0.4
135,1984/5/15,15.8,9.3,0.0,0.4
136,1984/5/16,17.0,11.9,1.5,0.0
137,1984/5/17,19.7,11.5,1.5,8.0
138,1984/5/18,19.1,11.9,0.0,5.5
139,1984/5/19,21.2,11.6,0.0,7.8
140,1984/5/20,21.1,14.3,0.0,7.0
141,1984/5/21,18.8,14.4,0.0,0.1
142,1984/5/22,19.5,12.4,0.0,8.0
143,1984/5/23,17.2,12.3,1.5,0.8
144,1984/5/24,20.2,12.5,0.5,3.0
145,1984/5/25,20.9,14.6,0.0,4.1
146,1984/5/26,20.8,13.6,0.0,1.6
147,1984/5/27,24.0,17.5,0.0,8.6
148,1984/5/28,22.8,17.7,0.0,4.2
149,1984/5/29,22.6,17.9,0.0,0.5
150,1984/5/30,25.5,18.1,0.0,6.1
151,1984/5/31,24.0,17.9,0.0,0.0
152,1984/6/1,27.0,18.3,0.0,8.7
153,1984/6/2,26.6,18.8,0.0,9.3
154,1984/6/3,21.8,16.5,0.5,0.0
155,1984/6/4,21.9,16.5,1.5,2.9
156,1984/6/5,23.7,17.1,0.0,2.5
157,1984/6/6,26.6,16.7,0.0,9.7
158,1984/6/7,25.9,20.4,0.0,8.7
159,1984/6/8,25.5,20.9,0.0,9.9
160,1984/6/9,26.1,19.7,0.0,7.7
161,1984/6/10,24.0,19.1,0.5,0.0
162,1984/6/11,24.0,20.3,0.5,0.0
163,1984/6/12,26.7,20.3,0.0,2.5
164,1984/6/13,22.4,19.0,1.5,0.0
165,1984/6/14,25.6,19.0,0.5,4.1
166,1984/6/15,26.2,18.8,0.0,9.5
167,1984/6/16,28.0,21.9,0.0,8.4
168,1984/6/17,27.6,22.2,0.5,2.2
169,1984/6/18,29.0,23.4,0.5,6.2
170,1984/6/19,31.5,23.6,0.0,5.1
171,1984/6/20,27.4,22.4,0.5,0.6
172,1984/6/21,22.6,18.0,0.5,0.0
173,1984/6/22,21.2,18.1,2.0,0.0
174,1984/6/23,22.0,17.9,4.0,0.0
175,1984/6/24,24.4,18.0,0.0,3.8
176,1984/6/25,22.4,17.9,0.5,0.0
177,1984/6/26,20.7,17.8,2.0,0.0
178,1984/6/27,22.7,17.3,1.0,0.0
179,1984/6/28,24.6,18.9,0.5,5.7
180,1984/6/29,22.2,18.3,2.5,0.0
181,1984/6/30,26.5,19.6,0.0,5.7
182,1984/7/1,27.2,17.5,0.0,7.9
183,1984/7/2,28.3,19.1,0.0,7.9
184,1984/7/3,29.5,21.9,0.0,11.3
185,1984/7/4,32.9,23.7,0.0,12.2
186,1984/7/5,33.6,25.6,0.0,8.1
187,1984/7/6,30.5,21.5,0.0,1.5
188,1984/7/7,23.2,19.4,0.5,0.0
189,1984/7/8,22.2,19.1,1.0,0.0
190,1984/7/9,28.8,20.7,0.0,1.1
191,1984/7/10,27.5,20.1,0.0,4.8
192,1984/7/11,28.6,21.2,8.5,5.7
193,1984/7/12,28.2,21.3,2.5,3.4
194,1984/7/13,29.8,22.2,0.0,3.1
195,1984/7/14,30.7,25.0,0.0,3.5
196,1984/7/15,29.0,24.9,3.5,4.2
197,1984/7/16,31.7,25.8,0.0,11.3
198,1984/7/17,32.3,25.5,0.0,11.6
199,1984/7/18,31.9,25.3,0.0,8.0
